TRACK,SOURCE,GLOBAL KEY,BEATPORT KEY,SUBGENRE,AUDIO LINK,ARTIST,TRACK
10089,endo_b,D major,D major,breaks,http://geo-samples.beatport.com/lofi/10089.LOFI.mp3,Jason Sparks,Close My Eyes
61415,forum,F minor,F major,trance,http://geo-samples.beatport.com/lofi/61415.LOFI.mp3,,
74982,forum,C minor,A minor,trance,http://geo-samples.beatport.com/lofi/74982.LOFI.mp3,,
101069,forum,E minor,A major,electro-house,http://geo-samples.beatport.com/lofi/101069.LOFI.mp3,,
190477,forum,D minor,D major,breaks,http://geo-samples.beatport.com/lofi/190477.LOFI.mp3,,
191347,endo_a forum,Eb minor,Bb minor,house,http://geo-samples.beatport.com/lofi/191347.LOFI.mp3,Schatrax,Mispent Years (Silicone Soul Darkroom Dub)
203493,forum,G minor,D minor,progressive-house,http://geo-samples.beatport.com/lofi/203493.LOFI.mp3,,
205597,endo_a,G minor,G minor,house,http://geo-samples.beatport.com/lofi/205597.LOFI.mp3,Roger Sanchez,Lost (Original Mix)
208158,forum,E minor,D major,trance,http://geo-samples.beatport.com/lofi/208158.LOFI.mp3,,
209206,forum,G major,A minor,trance,http://geo-samples.beatport.com/lofi/209206.LOFI.mp3,,
272788,endo_b,Bb major,Bb major,progressive-house,http://geo-samples.beatport.com/lofi/272788.LOFI.mp3,16 Bit Lolitas,Non Verbal Language (Original Mix)
305771,forum,C minor,C major,tech-house,http://geo-samples.beatport.com/lofi/305771.LOFI.mp3,,
341832,forum,G major,D major,progressive-house,http://geo-samples.beatport.com/lofi/341832.LOFI.mp3,,
376240,forum,F minor,F major,trance,http://geo-samples.beatport.com/lofi/376240.LOFI.mp3,,
398124,endo_b,D major,D major,progressive-house,http://geo-samples.beatport.com/lofi/398124.LOFI.mp3,Hybrid,Finished Symphony (Deadmau5 Remix)
400259,forum,G minor,F major,drum-and-bass,http://geo-samples.beatport.com/lofi/400259.LOFI.mp3,,
423054,forum,D minor,A minor,progressive-house,http://geo-samples.beatport.com/lofi/423054.LOFI.mp3,,
435443,endo_a,E minor,E major,progressive-house,http://geo-samples.beatport.com/lofi/435443.LOFI.mp3,Dubfire,I Feel Speed (Original Club Mix)
472626,forum,G minor,A minor,house,http://geo-samples.beatport.com/lofi/472626.LOFI.mp3,,
495905,endo_b,Bb minor,Bb minor,drum-and-bass,http://geo-samples.beatport.com/lofi/495905.LOFI.mp3,Metrik,Your World - Original Mix
511348,forum,E minor,A minor,tech-house,http://geo-samples.beatport.com/lofi/511348.LOFI.mp3,,
571009,forum,F minor,C minor,progressive-house,http://geo-samples.beatport.com/lofi/571009.LOFI.mp3,,
582991,forum,G minor,C minor,electro-house,http://geo-samples.beatport.com/lofi/582991.LOFI.mp3,,
611797,endo_b,A major,Db minor,techno,http://geo-samples.beatport.com/lofi/611797.LOFI.mp3,Si Begg,Sunshine 08 - Original Mix
631240,forum,G minor,D minor,minimal,http://geo-samples.beatport.com/lofi/631240.LOFI.mp3,,
631883,forum,C minor,C major,house,http://geo-samples.beatport.com/lofi/631883.LOFI.mp3,,
634032,forum,E minor,A minor,electro-house,http://geo-samples.beatport.com/lofi/634032.LOFI.mp3,,
667508,endo_a,D minor,D minor,tech-house,http://geo-samples.beatport.com/lofi/667508.LOFI.mp3,Stimming,Una Pena (Argy's)
671546,forum,A minor,A major,trance,http://geo-samples.beatport.com/lofi/671546.LOFI.mp3,,
677299,endo_b,Gb major,Gb major,electro-house,http://geo-samples.beatport.com/lofi/677299.LOFI.mp3,Angel Alanis,Cage Me In (Angel Alanis' Tweak Remix)
678406,endo_a forum,E minor,E major,progressive-house,http://geo-samples.beatport.com/lofi/678406.LOFI.mp3,Hybrid,Formula Of Fear (Uberzone Vocal Mix)
682724,endo_b,C major,G major,breaks,http://geo-samples.beatport.com/lofi/682724.LOFI.mp3,UnderThis,Black And White - Original Mix
